"u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1676.8,1,0,0,10,0
1693.9,1,0.1,0.1,10,0
1711.1,1,0.2,0.2,10,0
1728.2,1,0.3,0.3,10,0
1745.4,1,0.4,0.4,10,0
1762.6,1,0.5,0.5,10,0
1780.4,1,0.6,0.6,10,0
1798.2,1,0.7,0.7,10,0
1816,1,0.8,0.8,10,0
1833.8,1,0.9,0.9,10,0
1851.6,1,1,1,10,0
1869.4,1,1.1,1.1,10,0
1887.2,1,1.2,1.2,10,0
1905,1,1.3,1.3,10,0
1922.8,1,1.4,1.4,10,0
1940.6,1,1.5,1.5,10,0
1957.8,1,1.6,1.6,10,0
1975.1,1,1.7,1.7,10,0
1992.4,1,1.8,1.8,10,0
2009.7,1,1.9,1.9,10,0
2026.9,1,2,2,10,0
2043.6,1,2.1,2.1,10,0
2060.3,1,2.2,2.2,10,0
2077,1,2.3,2.3,10,0
2093.6,1,2.4,2.4,10,0
2110.3,1,2.5,2.5,10,0
2126.6,1,2.6,2.6,10,0
2142.8,1,2.7,2.7,10,0
2159.1,1,2.8,2.8,10,0
2175.3,1,2.9,2.9,10,0
2191.6,1,3,3,10,0
2206.8,1,3.1,3.1,10,0
2222.1,1,3.2,3.2,10,0
2237.3,1,3.3,3.3,10,0
2252.5,1,3.4,3.4,10,0
2267.8,1,3.5,3.5,10,0
2282,1,3.6,3.6,10,0
2296.3,1,3.7,3.7,10,0
2310.6,1,3.8,3.8,10,0
2324.8,1,3.9,3.9,10,0
2339.1,1,4,4,10,0
2353.2,1,4.1,4.1,10,0
2367.4,1,4.2,4.2,10,0
2381.5,1,4.3,4.3,10,0
2395.6,1,4.4,4.4,10,0
2409.8,1,4.5,4.5,10,0
2423.9,1,4.6,4.6,10,0
2438,1,4.7,4.7,10,0
2452.1,1,4.8,4.8,10,0
2466.3,1,4.9,4.9,10,0
2480.4,1,5,5,10,0
2493.9,1,5.1,5.1,10,0
2507.4,1,5.2,5.2,10,0
2520.9,1,5.3,5.3,10,0
2534.4,1,5.4,5.4,10,0
2547.9,1,5.5,5.5,10,0
2560.8,1,5.6,5.6,10,0
2573.7,1,5.7,5.7,10,0
2586.6,1,5.8,5.8,10,0
2599.5,1,5.9,5.9,10,0
2612.4,1,6,6,10,0
2624.5,1,6.1,6.1,10,0
2636.6,1,6.2,6.2,10,0
2648.8,1,6.3,6.3,10,0
2660.9,1,6.4,6.4,10,0
2673.1,1,6.5,6.5,10,0
2684.3,1,6.6,6.6,10,0
2695.6,1,6.7,6.7,10,0
2706.8,1,6.8,6.8,10,0
2718.1,1,6.9,6.9,10,0
2729.3,1,7,7,10,0
2740.4,1,7.1,7.1,10,0
2751.5,1,7.2,7.2,10,0
2762.5,1,7.3,7.3,10,0
2773.6,1,7.4,7.4,10,0
2784.7,1,7.5,7.5,10,0
2795.8,1,7.6,7.6,10,0
2806.9,1,7.7,7.7,10,0
2818,1,7.8,7.8,10,0
2829.1,1,7.9,7.9,10,0
2840.2,1,8,8,10,0
2851.5,1,8.1,8.1,10,0
2862.8,1,8.2,8.2,10,0
2874.1,1,8.3,8.3,10,0
2885.5,1,8.4,8.4,10,0
2896.8,1,8.5,8.5,10,0
2908.2,1,8.6,8.6,10,0
2919.6,1,8.7,8.7,10,0
2931,1,8.8,8.8,10,0
2942.4,1,8.9,8.9,10,0
2953.8,1,9,9,10,0
2964.4,1,9.1,9.1,10,0
2974.9,1,9.2,9.2,10,0
2985.5,1,9.3,9.3,10,0
2996,1,9.4,9.4,10,0
3006.6,1,9.5,9.5,10,0
3016.7,1,9.6,9.6,10,0
3026.8,1,9.7,9.7,10,0
3037,1,9.8,9.8,10,0
3047.1,1,9.9,9.9,10,0
3057.2,1,10,10,10,0
3067.1,1,10.1,10.1,10,0
3077,1,10.2,10.2,10,0
3086.9,1,10.3,10.3,10,0
3096.8,1,10.4,10.4,10,0
3106.7,1,10.5,10.5,10,0
3116.2,1,10.6,10.6,10,0
3125.8,1,10.7,10.7,10,0
3135.3,1,10.8,10.8,10,0
3144.8,1,10.9,10.9,10,0
3154.3,1,11,11,10,0
3164,1,11.1,11.1,10,0
3173.6,1,11.2,11.2,10,0
3183.3,1,11.3,11.3,10,0
3193,1,11.4,11.4,10,0
3202.6,1,11.5,11.5,10,0
3212.3,1,11.6,11.6,10,0
3222,1,11.7,11.7,10,0
3231.7,1,11.8,11.8,10,0
3241.4,1,11.9,11.9,10,0
3251,1,12,12,10,0
3260.6,1,12.1,12.1,10,0
3270.1,1,12.2,12.2,10,0
3279.7,1,12.3,12.3,10,0
3289.2,1,12.4,12.4,10,0
3298.7,1,12.5,12.5,10,0
3308.3,1,12.6,12.6,10,0
3317.8,1,12.7,12.7,10,0
3327.3,1,12.8,12.8,10,0
3336.9,1,12.9,12.9,10,0
3346.4,1,13,13,10,0
3356,1,13.1,13.1,10,0
3365.5,1,13.2,13.2,10,0
3375.1,1,13.3,13.3,10,0
3384.7,1,13.4,13.4,10,0
3394.2,1,13.5,13.5,10,0
3403.9,1,13.6,13.6,10,0
3413.6,1,13.7,13.7,10,0
3423.2,1,13.8,13.8,10,0
3432.9,1,13.9,13.9,10,0
3442.5,1,14,14,10,0
3452.1,1,14.1,14.1,10,0
3461.7,1,14.2,14.2,10,0
3471.2,1,14.3,14.3,10,0
3480.8,1,14.4,14.4,10,0
3490.3,1,14.5,14.5,10,0
3499.9,1,14.6,14.6,10,0
3509.5,1,14.7,14.7,10,0
3519.2,1,14.8,14.8,10,0
3528.8,1,14.9,14.9,10,0
3538.4,1,15,15,10,0
3547.7,1,15.1,15.1,10,0
3557,1,15.2,15.2,10,0
3566.4,1,15.3,15.3,10,0
3575.7,1,15.4,15.4,10,0
3585.1,1,15.5,15.5,10,0
3594.1,1,15.6,15.6,10,0
3603.2,1,15.7,15.7,10,0
3612.3,1,15.8,15.8,10,0
3621.4,1,15.9,15.9,10,0
3630.5,1,16,16,10,0
3639.3,1,16.1,16.1,10,0
3648.1,1,16.2,16.2,10,0
3656.8,1,16.3,16.3,10,0
3665.6,1,16.4,16.4,10,0
3674.4,1,16.5,16.5,10,0
3682.8,1,16.6,16.6,10,0
3691.3,1,16.7,16.7,10,0
3699.7,1,16.8,16.8,10,0
3708.1,1,16.9,16.9,10,0
3716.5,1,17,17,10,0
3724.6,1,17.1,17.1,10,0
3732.7,1,17.2,17.2,10,0
3740.8,1,17.3,17.3,10,0
3748.8,1,17.4,17.4,10,0
3756.9,1,17.5,17.5,10,0
3764.7,1,17.6,17.6,10,0
3772.5,1,17.7,17.7,10,0
3780.2,1,17.8,17.8,10,0
3788,1,17.9,17.9,10,0
3795.8,1,18,18,10,0
3803.9,1,18.1,18.1,10,0
3812,1,18.2,18.2,10,0
3820.2,1,18.3,18.3,10,0
3828.3,1,18.4,18.4,10,0
3836.4,1,18.5,18.5,10,0
3843.8,1,18.6,18.6,10,0
3851.2,1,18.7,18.7,10,0
3858.6,1,18.8,18.8,10,0
3866,1,18.9,18.9,10,0
3873.4,1,19,19,10,0
3880.2,1,19.1,19.1,10,0
3887.1,1,19.2,19.2,10,0
3893.9,1,19.3,19.3,10,0
3900.8,1,19.4,19.4,10,0
3907.6,1,19.5,19.5,10,0
3915,1,19.6,19.6,10,0
3922.3,1,19.7,19.7,10,0
3929.7,1,19.8,19.8,10,0
3937.1,1,19.9,19.9,10,0
3944.5,1,20,20,10,0
3952.6,1,20.1,20.1,10,0
3960.7,1,20.2,20.2,10,0
3968.8,1,20.3,20.3,10,0
3976.9,1,20.4,20.4,10,0
3985,1,20.5,20.5,10,0
3992.7,1,20.6,20.6,10,0
4000.4,1,20.7,20.7,10,0
4008,1,20.8,20.8,10,0
4015.7,1,20.9,20.9,10,0
4023.4,1,21,21,10,0
4030.7,1,21.1,21.1,10,0
4037.9,1,21.2,21.2,10,0
4045.2,1,21.3,21.3,10,0
4052.4,1,21.4,21.4,10,0
4059.7,1,21.5,21.5,10,0
4066.7,1,21.6,21.6,10,0
4073.7,1,21.7,21.7,10,0
4080.8,1,21.8,21.8,10,0
4087.8,1,21.9,21.9,10,0
4094.8,1,22,22,10,0
4101.5,1,22.1,22.1,10,0
4108.1,1,22.2,22.2,10,0
4114.8,1,22.3,22.3,10,0
4121.5,1,22.4,22.4,10,0
4128.2,1,22.5,22.5,10,0
4135.3,1,22.6,22.6,10,0
4142.4,1,22.7,22.7,10,0
4149.5,1,22.8,22.8,10,0
4156.6,1,22.9,22.9,10,0
4163.7,1,23,23,10,0
4171.2,1,23.1,23.1,10,0
4178.6,1,23.2,23.2,10,0
4186,1,23.3,23.3,10,0
4193.4,1,23.4,23.4,10,0
4200.8,1,23.5,23.5,10,0
4208.1,1,23.6,23.6,10,0
4215.4,1,23.7,23.7,10,0
4222.7,1,23.8,23.8,10,0
