"u","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1670.1,1,0,0,10,0
1670.8,1,0.1,0.1,10,0
1671.6,1,0.2,0.2,10,0
1672.3,1,0.3,0.3,10,0
1673.1,1,0.4,0.4,10,0
1673.8,1,0.5,0.5,10,0
1675.9,1,0.6,0.6,10,0
1677.9,1,0.7,0.7,10,0
1680,1,0.8,0.8,10,0
1682,1,0.9,0.9,10,0
1684.1,1,1,1,10,0
1686.7,1,1.1,1.1,10,0
1689.3,1,1.2,1.2,10,0
1691.9,1,1.3,1.3,10,0
1694.6,1,1.4,1.4,10,0
1697.2,1,1.5,1.5,10,0
1699.9,1,1.6,1.6,10,0
1702.6,1,1.7,1.7,10,0
1705.3,1,1.8,1.8,10,0
1708,1,1.9,1.9,10,0
1710.7,1,2,2,10,0
1713.8,1,2.1,2.1,10,0
1716.8,1,2.2,2.2,10,0
1719.8,1,2.3,2.3,10,0
1722.8,1,2.4,2.4,10,0
1725.9,1,2.5,2.5,10,0
1729.1,1,2.6,2.6,10,0
1732.3,1,2.7,2.7,10,0
1735.6,1,2.8,2.8,10,0
1738.8,1,2.9,2.9,10,0
1742.1,1,3,3,10,0
1744.9,1,3.1,3.1,10,0
1747.7,1,3.2,3.2,10,0
1750.5,1,3.3,3.3,10,0
1753.3,1,3.4,3.4,10,0
1756.1,1,3.5,3.5,10,0
1758.6,1,3.6,3.6,10,0
1761.1,1,3.7,3.7,10,0
1763.6,1,3.8,3.8,10,0
1766.1,1,3.9,3.9,10,0
1768.6,1,4,4,10,0
1770.5,1,4.1,4.1,10,0
1772.4,1,4.2,4.2,10,0
1774.4,1,4.3,4.3,10,0
1776.3,1,4.4,4.4,10,0
1778.2,1,4.5,4.5,10,0
1779.7,1,4.6,4.6,10,0
1781.1,1,4.7,4.7,10,0
1782.5,1,4.8,4.8,10,0
1784,1,4.9,4.9,10,0
1785.4,1,5,5,10,0
1786.7,1,5.1,5.1,10,0
1788,1,5.2,5.2,10,0
1789.2,1,5.3,5.3,10,0
1790.5,1,5.4,5.4,10,0
1791.7,1,5.5,5.5,10,0
1793.1,1,5.6,5.6,10,0
1794.4,1,5.7,5.7,10,0
1795.8,1,5.8,5.8,10,0
1797.1,1,5.9,5.9,10,0
1798.5,1,6,6,10,0
1799.7,1,6.1,6.1,10,0
1800.9,1,6.2,6.2,10,0
1802.1,1,6.3,6.3,10,0
1803.3,1,6.4,6.4,10,0
1804.6,1,6.5,6.5,10,0
1805.3,1,6.6,6.6,10,0
1806,1,6.7,6.7,10,0
1806.8,1,6.8,6.8,10,0
1807.5,1,6.9,6.9,10,0
1808.2,1,7,7,10,0
1809.2,1,7.1,7.1,10,0
1810.2,1,7.2,7.2,10,0
1811.1,1,7.3,7.3,10,0
1812.1,1,7.4,7.4,10,0
1813.1,1,7.5,7.5,10,0
1814,1,7.6,7.6,10,0
1815,1,7.7,7.7,10,0
1815.9,1,7.8,7.8,10,0
1816.8,1,7.9,7.9,10,0
1817.8,1,8,8,10,0
1818.6,1,8.1,8.1,10,0
1819.4,1,8.2,8.2,10,0
1820.2,1,8.3,8.3,10,0
1821.1,1,8.4,8.4,10,0
1821.9,1,8.5,8.5,10,0
1822.9,1,8.6,8.6,10,0
1823.9,1,8.7,8.7,10,0
1825,1,8.8,8.8,10,0
1826,1,8.9,8.9,10,0
1827,1,9,9,10,0
1827.9,1,9.1,9.1,10,0
1828.8,1,9.2,9.2,10,0
1829.7,1,9.3,9.3,10,0
1830.5,1,9.4,9.4,10,0
1831.4,1,9.5,9.5,10,0
1832.6,1,9.6,9.6,10,0
1833.9,1,9.7,9.7,10,0
1835.1,1,9.8,9.8,10,0
1836.3,1,9.9,9.9,10,0
1837.5,1,10,10,10,0
1838.3,1,10.1,10.1,10,0
